"n","S","Tot.incid","C_jacc","C_jacc_Z_sim2","C_jacc_Z_IT","B_jacc","B_jacc_Z_sim2","B_jacc_Z_IT"
17,71,376,0.168281775890369,0.246991354694373,-0.0497490181572871,0.348240834317128,3.12245796016087,1.62044469424816
12,25,117,0.207617965367965,-0.00111513855111422,0.0495077391259809,0.409578856971905,1.71497662286459,1.2783141004931
51,12,241,0.235860941769685,1.81683418990254,1.32423782609072,0.587861528449764,2.46536770776878,1.46121594713585
25,10,142,0.342948555145733,0.617096651751843,1.12400336432059,0.689568783068783,2.10932036905833,1.67621748339228
30,7,112,0.329287439613527,1.37872784868707,1.25621734716325,0.650815544608648,1.61673367959649,1.26882113054354
20,23,139,0.24288578874431,1.01068936539042,0.408740945836652,0.265525692487767,1.29525374659686,0.633134299915405
11,65,142,0.124484508547009,0.0664017041803561,-0.290901032862766,0.133658755857153,0.408805468151576,0.0732291391729192
24,61,392,0.130486628190208,0.244443115212056,-0.0606045675419812,0.449324740360741,4.7935172980171,2.19570752054275
4,40,110,0.512179487179487,-0.0418397114759658,0.335491944153824,0.646514161220044,2.07615793107386,3.28021795094391
3,34,74,0.554664289958408,-0.0733441845747372,0.205455134419589,0.608960573476703,0.634818318837601,2.59056877066223
12,102,167,0.294717623022806,0.949545873291242,0.087773166328596,0.0809296554240855,0.851395501543752,0.424380192996085
31,9,119,0.375627593589578,1.76947448222729,1.35034199518935,0.309751664106503,0.539436279460115,0.200885663032398
5,13,36,0.377136752136752,-0.0507284450451753,0.200474153390793,0.354444444444444,-0.210899598543679,0.456335741278575
5,15,47,0.508412698412698,0.461614886555357,0.578538427116203,0.484115884115884,0.57015776655447,1.34515360313464
5,9,27,0.550462962962963,0.925948713144773,0.661271493041366,0.417857142857143,0.49435780266256,0.815114379580911
4,4,13,0.708333333333333,0.156250906442843,1.13699224128598,0.625,-0.940518724799306,0.906823946951689
4,3,12,1,NA,2.12269048821061,1,NA,1.7381635797029
51,41,285,0.159832678015748,1.60948441599484,0.456868272892084,0.122011379828039,0.939264506193671,0.124971832741479
9,23,92,0.292714411192672,0.463500892080672,0.0806464682696168,0.560875492064217,2.99809940583907,2.01159899018428
15,22,94,0.145102840882062,0.133949685106709,-0.117003340136335,0.336995306281021,1.6488216108231,0.956008011760617
15,31,127,0.142426957749538,0.176729927517989,-0.156027677257342,0.307215713259499,1.79240962587215,0.949383161640554
3,62,115,0.55676009166226,0.510648852363282,0.18175846740416,0.414119570028177,0.120112962886128,1.94715653992655
8,65,270,0.385824748168498,0.501621671132436,0.431670694778603,0.505651880741385,3.08648575466555,2.96695674542624
15,17,64,0.112842365967366,0.0348494182580235,-0.311230423071441,0.301660138802996,1.19957127494691,0.544827684284276
15,17,64,0.131194255091314,0.128335332870262,-0.20589827912278,0.233657665086237,0.78079046031675,0.327717699179
15,17,67,0.148723906812142,0.135931980124114,-0.246379283982734,0.273790733076447,0.986256994597232,0.47745114960455
17,16,138,0.326358215586157,0.402130855401341,0.654912405909624,0.48473645431366,1.4011674031614,1.32708658852736
14,8,45,0.251627340913055,0.66368280498218,0.227714371761002,0.419832548403977,1.1308643470774,0.517152146629064
17,71,376,0.168281775890369,0.249678242031463,-0.0504180249807098,0.348240834317128,3.09559132089424,1.60503663478928
40,10,91,0.168504381755156,0.631640743556268,0.326610675939641,0.149465811965812,0.123366801948062,-0.248555329089926
3,60,77,0.3469868173258,0.00556248308070483,-0.416292241905401,0.139642804860196,-2.2237773343013,-1.18437746249529
8,16,19,0.116666666666667,-0.0433246996259509,-0.465955337823362,0.0408163265306122,-0.375749280131611,-0.412601062084934
4,6,13,0.433333333333333,0.260351476704485,0.160445784610575,0.291666666666667,-0.38766567873352,-0.0144928533939484
14,17,60,0.153426761147349,0.223935781602107,-0.164304213886809,0.225398411112697,0.768346103837614,0.298356159673131
6,12,22,0.253535353535354,0.263815495975105,-0.248476984648921,0.221851851851852,0.470948012369084,0.110899769770226
8,15,38,0.184886621315193,0.123767397230735,-0.287558157449303,0.238973922902494,0.551950995979977,0.235872723416636
8,36,135,0.436547619047619,0.937750340233032,0.59168453248956,0.41154000203507,2.50248388779422,1.72764723802052
9,36,144,0.334320357772739,0.553643484244097,0.27519813318181,0.409074253793654,2.00762454130536,1.54966757684547
4,35,59,0.285434173669468,-0.0170416856025273,-0.355422769629545,0.265203685203685,-0.0273540926770623,0.262262902441766
6,34,75,0.265983363042187,0.245179582028152,-0.166995422139858,0.241098351940457,0.54195075211131,0.471467845904877
4,18,41,0.398148148148148,-0.071059806652799,-0.00479308801091454,0.46963649096002,0.634199202401276,1.2418349161786
3,16,32,0.508333333333333,0.159028932501929,0.0503245773235777,0.525274725274725,0.34732819895884,1.49176809519036
7,24,65,0.248826777087647,0.189561555342597,-0.124083386252239,0.282652548198767,0.577609814326304,0.515810531635881
6,16,48,0.390277777777778,0.485392620018659,0.255272910195028,0.409266474266474,0.885464403886112,1.08657504953867
7,72,296,0.433037111558238,0.46089604050228,0.522341183398791,0.532796761355532,2.89437771004845,3.32939335716952
5,19,57,0.431968810916179,0.350954645059134,0.253309093848376,0.606804567981039,1.93029639741614,2.16754979741529
5,15,58,0.603809523809524,-0.0965029449047516,0.935660881803191,0.732875457875458,1.23265315200512,2.44109319517322
5,85,183,0.277147525676937,0.0235121126640627,-0.230291374110967,0.322480160924941,1.04375403602419,1.17082672162765
5,76,168,0.28472514619883,0.0263053840547798,-0.20916748920286,0.335414934676866,1.01287138720257,1.27378773897889
16,25,48,0.0992777777777778,0.138793617176424,-0.224745328703604,0.0605759980759981,-0.0280624274735498,-0.30533408798835
6,8,24,0.430357142857143,0.386329899415838,0.50925834442743,0.29484126984127,-0.291528313419071,0.156756323203879
6,9,39,0.553703703703704,0.0521280537869842,0.918878796616876,0.646296296296296,0.623166298705969,1.56515050848944
3,8,14,0.404761904761905,-0.0988916183445328,-0.225484248302475,0.337301587301587,-0.55446801883041,0.202634867700155
3,3,5,0.555555555555556,1.27573508221731,0.229765453005515,0.555555555555556,1.31733697751516,0.169373074566563
15,65,297,0.179846078067232,0.282737278703372,-0.00803138995421325,0.277429866237431,1.94202333782798,1.18025555068112
4,20,50,0.431140350877193,-0.045101874217219,0.0833639584903446,0.533728213507625,0.843661897046536,1.62477086890712
3,16,31,0.480555555555556,0.0623751790898748,-0.00558701133041317,0.474236874236874,0.0891519850886149,1.1400532343913
7,38,87,0.234024249813723,0.279540773563302,-0.211469245465865,0.217526001385923,0.6544028366629,0.39136213481631
6,36,80,0.269312169312169,0.201067237302099,-0.126114689636827,0.235753018586352,0.370604138898601,0.444024485686476
3,63,121,0.472691585594811,-0.0262494458039562,-0.0456346458348105,0.495910254940183,0.475340586510902,2.40827647115835
3,77,150,0.489861016176806,0.0594100762120971,0.00171235406643356,0.506600881033068,0.70166211917281,2.82465622825107
3,165,278,0.443409706824341,0.135392514270864,-0.136658082675256,0.370022693549795,-0.226315795667709,2.01480898392732
6,282,662,0.276072453160361,0.197960321938634,-0.123025293115113,0.298079389312799,2.60107886184333,2.25376113423322
8,4,27,0.761904761904762,0.581296443820729,1.93185304526704,0.714285714285714,-0.0542368344872452,1.11050643345414
8,4,30,0.875,-0.373165026164212,2.3785430498705,0.875,-0.580472359837328,1.59618536156258
42,91,281,0.0616990512667212,0.329604950679223,-0.226040902033608,0.076326983310812,0.915393868812805,0.0906116199263391
8,6,23,0.298492063492063,0.312294812138641,0.202264262058931,0.491071428571429,0.931972282904233,0.635021982445748
8,22,64,0.4568130282416,1.31121619302666,0.563994832902364,0.192757461836409,0.566871671903347,0.238004276307654
91,679,1207,0.0724364297427184,0.774923695825979,-0.179235895076798,0.0402746668285985,1.61400618439658,0.206747540925195
20,30,332,0.35056832432086,0.540275095568448,0.973294768021634,0.620917329229486,3.1991692539656,2.62438422480666
4,12,41,0.756313131313131,0.437856962152331,1.20123244584852,0.758333333333333,0.349149358365153,2.3975634601284
4,4,11,0.541666666666667,0.0524459408796298,0.596438889433203,0.541666666666667,0.0383104902054863,0.587162263052523
11,17,100,0.32403101392072,0.0950762350561366,0.366086249380913,0.539699694245149,1.64274193583946,1.55734200262946
51,14,114,0.127190377953082,0.857753539866163,0.282595786935065,0.119153134447252,0.217709410133953,-0.286585549776632
5,33,68,0.278661616161616,0.0469322614450871,-0.228122370820766,0.299662804515746,0.482465099197924,0.603188141923667
5,35,78,0.330252100840336,0.178442164037863,-0.0469413201403143,0.27471434057641,0.080213417603034,0.465366164097809
10,99,320,0.215661964641556,0.232398734463388,-0.0215644316932392,0.294210999052026,2.35340538971758,1.54343941007906
11,40,201,0.319082491582492,0.435208427742311,0.433638888527917,0.412179573450088,1.97028103587416,1.71919594912655
25,79,299,0.159485780769367,0.884104733904062,0.105247821520058,0.143438675336775,1.69371040861233,0.693466402795407
4,24,46,0.365942028985507,0.24751504365197,-0.169045615423255,0.366454013822435,0.801550839080854,0.938534882934568
3,10,20,0.522222222222222,0.31246313709273,0.129528951262064,0.542328042328042,0.449182838246019,1.16605520572965
6,21,57,0.315714285714286,0.296476173062922,-0.00920145570946482,0.394924062865239,1.25928430756684,1.07041252386187
6,18,40,0.216339869281046,-0.00507570805164344,-0.321554189568168,0.266250971250971,0.347854326765923,0.313831596128814
8,49,93,0.170682499190152,0.085058022844297,-0.2439043523869,0.110773661847988,-0.20432650722654,-0.199562041996803
4,32,71,0.431283602150538,0.277729532662905,0.0780596512019184,0.385046945391773,0.418671457840561,1.14708612311762
18,11,38,0.131469237832874,0.363002054626726,-0.112118105949929,0.144491129785247,0.238746276214162,-0.266157246616317
13,44,143,0.241876824725662,0.78344885016246,0.159604298062107,0.166516377562491,0.769758349441245,0.451578180834988
4,15,23,0.254761904761905,-0.0885091728185071,-0.45631076120824,0.203920153920154,-0.351629021014616,-0.0751880531900753
3,18,23,0.325708061002179,-0.043204973563639,-0.465588844341775,0.153418803418803,-1.04311933225178,-0.619868702435321
7,30,54,0.201330049261084,0.168422215279679,-0.30895961675792,0.153359510695866,0.219389745226551,0.0911172335000556
6,30,63,0.238697318007663,0.185726777854353,-0.272475403665898,0.233882801065464,0.437957779927612,0.334793913095765
8,81,246,0.230762051734274,0.15430399245536,-0.0986504596368983,0.355263567021055,2.53220009708735,1.86506268478941
20,36,177,0.121519493169206,0.113352857238345,-0.129767404696967,0.294998812156829,1.84740776960366,0.957907943083256
19,38,167,0.111593742258155,0.109303528651587,-0.206096626281169,0.273646827962803,1.79220405514361,0.835819810071291
19,33,158,0.124715211020138,0.152926404354748,-0.146835687191766,0.286719297084025,1.70619679131632,0.846866930089412
19,33,135,0.11960710206097,0.190095242788236,-0.174136406012427,0.229307469884435,1.26965034165618,0.63130977474397
18,22,88,0.11039729093587,0.120028253952391,-0.231592572810493,0.221143616731852,0.913396666438932,0.424956922382871
14,13,52,0.190805668690284,0.250246215171936,-0.00404700435411212,0.327255680827109,1.11126723070037,0.602033289740274
10,12,30,0.171320346320346,0.204666488135667,-0.182280606808883,0.165308641975309,0.181757464939441,-0.0715439252611879
9,56,103,0.24334570191713,0.536680005205342,-0.0867360548696903,0.118456111609361,0.594991379588255,0.167551004486708
4,24,82,0.780797101449275,1.50827327871916,1.23858669387388,0.787037037037037,4.72162969202307,3.66626720518588
11,28,77,0.132976400436718,0.0223924846534622,-0.330106292172002,0.230240189103825,0.915894153011021,0.448481000198897
53,17,158,0.163333591684737,1.20100769525827,0.437108816150885,0.113014446849715,0.211194992404691,-0.178916595348049
5,42,108,0.340805265195509,0.10215195162085,-0.048642591678542,0.458848772790203,1.70585578091052,1.9082191581529
5,23,69,0.400065876152833,-0.00573994351272989,0.122999162937637,0.583611971104231,1.72214589945004,2.08548163986012
5,34,95,0.383511586452763,0.159999972446134,0.082389428589822,0.507589505003298,1.79982437400063,1.98085696058937
5,24,69,0.46292270531401,0.690053984037979,0.272098029724951,0.655760326629892,2.98790250400863,2.58984989328176
5,32,96,0.41760752688172,0.109499504599763,0.217386543924287,0.543743805309023,1.68354168365077,2.24335577109478
5,25,75,0.396,0.0356530106219212,0.111043575756595,0.634540294586734,2.39713440538503,2.5097488119487
4,19,33,0.357212475633528,0.223438657576129,-0.211843067405239,0.315013227513228,0.504663140718623,0.643506560553722
13,11,53,0.24030106257379,0.610500535494128,0.217265340606192,0.372868335368335,1.19156770900413,0.608133975573045
4,19,45,0.403021442495127,0.0284550184399671,-0.0153396069125356,0.498511904761905,0.875904838797981,1.34946214160197
6,25,72,0.339333333333333,0.229573929335109,0.0709532954699452,0.411635858744487,1.21172504289705,1.225072914174
17,19,62,0.110071669243496,0.235680360834684,-0.252234020417715,0.311996806298277,1.72740869490614,0.634330353986337
15,28,96,0.168717158796524,0.396416445483026,-0.015645900659276,0.203008215227366,0.9810403222094,0.45414450146741
18,29,98,0.136737803794454,0.411982842965557,-0.0864404989364792,0.158838559960851,0.868395766950271,0.200797389101982
17,24,64,0.134272973403408,0.422027380377665,-0.15973424552778,0.174080759926348,0.921345656427877,0.120504477093698
17,23,71,0.0980595381781152,0.0650221701465294,-0.226984335767833,0.177946910116028,0.714893496637197,0.232295436484151
6,16,37,0.320972222222222,0.237407691563741,-0.0343590552702189,0.30509768009768,0.621093428795736,0.528962135507811
9,11,98,0.97979797979798,NA,2.96661430343995,0.97979797979798,NA,3.30485392051332
4,21,41,0.331349206349206,0.0425754027905701,-0.227631881153535,0.302935340802988,-0.186673006584332,0.394542350087145
3,23,47,0.565876152832675,0.426290277476033,0.251003637279732,0.510480747322853,0.37396216717514,1.75786070795244
6,31,88,0.36921146953405,0.496057480065315,0.141439892241372,0.343672404127782,0.915386728592509,1.03519261426896
6,27,102,0.49363722697056,0.564795514998938,0.596653151330296,0.536332341952479,1.45771691494426,2.09065545838637
97,33,316,0.14005420600665,1.98361386614913,0.693992316486475,0.0695930774246743,0.278273327328638,-0.189231752287982
7,32,59,0.371068548387097,0.911481530898086,0.110186600871743,0.139790237730741,0.516591498668341,-0.126508960769524
27,52,471,0.164659523521637,0.174786171930298,0.154325055289139,0.399103416391393,3.04551231882351,1.73512004921578
26,49,497,0.191530978051717,0.0995279013218597,0.298106928271877,0.482195442554124,3.59304418871879,2.24595952030614
26,27,122,0.0912429418938186,0.152663613065889,-0.203203567379707,0.240122172699096,1.3897311815355,0.57948768626405
26,27,180,0.0986829679397498,0.124527447127677,-0.132549027291862,0.479947061485523,3.44211331789638,1.46012547409833
27,63,322,0.0861612753506926,0.127514253966813,-0.243654397508896,0.234754349625661,2.16245013314152,0.796159220873255
26,55,344,0.101720013711646,0.0878830414859457,-0.158024383826356,0.334130075666485,2.96067233429971,1.33548973253771
27,33,212,0.0872714951356942,-0.016784511091234,-0.249386133946066,0.463663338411956,3.63677854027835,1.52046964192467
26,47,230,0.0749893515923359,0.102725917174624,-0.270226714819123,0.348835126464919,3.35809781236298,1.34724765927037
13,34,141,0.211494175264229,0.266643312604287,0.0800279091760375,0.21394521499166,0.545873318496114,0.421241580458617
25,6,53,0.174727668845316,-0.256571440884904,-0.0765644480845617,0.272666666666667,0.220541901679753,-0.150085586865335
45,8,144,0.226225436796948,0.298808066611015,0.622457235873767,0.359259259259259,0.657138782022732,0.352565031058351
98,8,390,0.30250046930361,0.360323101762522,1.59487276801237,0.460155490767736,0.794738931078148,0.774698042122944
36,6,66,0.111285554863072,-0.488888718435704,-0.314116165387631,0.327804232804233,0.48903332689469,-0.0194815183729531
93,9,216,0.0927851110016182,-0.130506746106664,-0.0496513849831035,0.308769117745275,0.809903674993884,0.128672394679901
65,14,249,0.266959553663807,2.01208688855912,1.18717165024392,0.170970810706388,0.26788060172086,-0.0242236934099675
29,19,211,0.22115739832722,0.614613623695334,0.638538084458619,0.477501507395017,2.31318444147348,1.45297217802483
29,19,211,0.22115739832722,0.625735564830782,0.637517579575131,0.477501507395017,2.3045554166009,1.45790329514469
11,14,46,0.252312370169513,0.524342221680255,0.217945247366825,0.198929403929404,0.327940021319312,0.160447432469887
14,71,193,0.11722498270788,0.142997048632865,-0.271347286088806,0.158006044894079,1.06697796878615,0.31779355950211
15,51,139,0.136457653457653,0.299427845957083,-0.180603943020798,0.151835642464304,1.01097129386514,0.356271358623194
15,45,121,0.105528357725327,0.134118487285924,-0.345038816571052,0.181093170020636,1.30187893195271,0.399570366987672
15,43,107,0.104815379649267,0.178195199956793,-0.335705726502902,0.132035004244204,0.753366695052176,0.127836935153709
14,55,242,0.189422734018694,0.334927596276259,-0.00163565648365494,0.345551843736697,2.73736806494521,1.61750449853446
15,45,165,0.157248315657407,0.287417790685001,-0.0589865762009535,0.232093132407729,1.51095305550957,0.825540177790443
15,41,121,0.13084003733394,0.298662712008805,-0.221298151866407,0.220952232087407,1.72970475130833,0.72707553481776
15,34,102,0.114847254152067,0.183939362463808,-0.278001722677973,0.22614107001325,1.42687742759552,0.642228067833052
15,124,378,0.140603108099174,0.316310284658287,-0.168110751727938,0.184899556465649,2.12855132930282,0.870517528981206
15,71,342,0.182919015927064,0.307869514595978,0.00512502617178867,0.384237082383844,3.67891379919191,2.11506580087311
14,72,193,0.115670518839533,0.118271724250228,-0.29702852015244,0.189604132248694,1.52021318243235,0.61283204968477
15,69,177,0.0862192699788608,0.0337273310137498,-0.375697094642774,0.169675142111038,1.29495966517595,0.383112865053474
15,37,109,0.115665378165378,0.175307154467644,-0.282424293045953,0.176281339141799,0.978590275548283,0.343622835057047
16,57,243,0.197936839337215,0.629329329371259,0.0584575047985643,0.263055939415064,2.16934180537937,1.06377749095528
15,44,168,0.140019910791581,0.192241540426594,-0.16812986660076,0.289485788093541,2.06052024190932,1.05690773862396
15,38,132,0.152616235510972,0.323906856614358,-0.13198270361974,0.312068544650505,2.3394429630662,1.20169645216142
16,109,323,0.119234487385609,0.220116043738898,-0.244447953055452,0.198856577163981,2.36095348539663,0.933006482132563
16,77,338,0.194804091822205,0.577434200627217,0.0478126317924994,0.303600623784085,3.17781545213727,1.60295560168055
12,40,173,0.213417508417508,0.238664241175552,0.0304083416570377,0.327780236172323,1.66472798263396,1.16487118345352
22,57,494,0.222052878828234,0.320871230340299,0.377286926672647,0.453246168100556,3.44567305675504,2.24832437974562
9,72,392,0.418731214447177,0.146877427881955,0.655292156220843,0.591124625723604,3.3744844290887,3.83825637577896
4,54,95,0.361926391800606,0.113736742195265,-0.144724435792349,0.293913906142167,0.235600152531369,0.748117177101996
4,59,88,0.276446522501461,-4.80575570563071e-05,-0.358129603438209,0.154822301881125,-1.16967539874922,-0.708656842451014
4,23,27,0.286561264822134,0.0876190922415052,-0.380181896198013,0.0500518000518001,-1.04368899796658,-0.859423234687663
12,88,210,0.144911035643794,0.205605218452159,-0.191273539926144,0.114620139661602,0.401185342934305,0.0555762442058614
10,29,101,0.234598092110407,0.418414268994765,0.0334582308941241,0.331359430413027,1.65855192714747,1.08164322040831
3,35,50,0.350700280112045,-0.0451368733243005,-0.396850167981225,0.2531569664903,-0.889744233277471,-0.0323035820934473
14,90,164,0.228604143810136,0.786201594355305,-0.00478759026118582,0.0894669373584225,0.873753099958738,0.339050073220253
10,29,42,0.332717569786535,0.917053745545689,0.12361818744222,0.0738287638287638,0.0803575679858516,-0.180913921201563
9,33,45,0.204229797979798,0.360323502867782,-0.223222589987726,0.0575665461082128,-0.0688723607197346,-0.380888069230702
9,27,39,0.277967711301045,0.626823529591067,-0.0254112094949972,0.0489054881211744,-0.162122402639432,-0.355382166757846
10,29,43,0.300492610837438,0.831846297292654,0.0441511972561928,0.0448742582953109,-0.136768182262556,-0.411833643633443
8,35,51,0.258011204481793,0.512415805736909,-0.125032817487263,0.0577685039253362,-0.077195884426494,-0.350142632466224
8,26,36,0.251538461538462,0.475750367585933,-0.167794413101999,0.0671704198793982,-0.115471742250078,-0.37841189374702
7,24,31,0.380434782608696,0.748641423914719,0.0929589435349966,0.0435846560846561,-0.260048166229515,-0.450610842448064
8,27,47,0.223884140550807,0.343543081963551,-0.207466748356688,0.165364298400013,0.653931611626664,0.251492789859921
10,44,96,0.130488019732206,0.0514980443185691,-0.362580478747131,0.18134305437711,0.818076095325587,0.332397149798481
11,47,125,0.159591888222786,0.22167525042619,-0.186729696541431,0.219192668553879,1.32582356625866,0.715674296130796
3,8,21,0.767857142857143,0.700932215088773,0.970540385808349,0.827380952380952,1.64223763336627,2.17351413839758
3,47,101,0.559666975023127,0.0120301755950928,0.222979792038573,0.61024661024661,1.09946620108501,3.2187971859662
3,44,91,0.557434813248767,0.270004606035415,0.202695382699794,0.575892857142857,0.944847278321663,2.94817835043111
144,31,384,0.108226732293297,1.65106265909346,0.433283718024328,0.0576225823275885,0.153507894427172,-0.283030981667566
18,10,50,0.440685237057786,2.13650916573028,1.40452384441812,0.443391430646333,1.26814292679303,0.558453325647244
28,5,77,0.50718045112782,3.60957079696644,2.28431381236001,0.547707231040564,1.22275862455943,0.585470805342586
7,222,507,0.229272582213759,0.189675585857718,-0.209733792674521,0.246626436768583,2.49194410096173,1.57181183697859
6,53,105,0.527890662796323,0.822441156116867,0.473753123954134,0.392433218091555,2.78535295330636,2.33857929301511
16,82,507,0.218328782195088,0.163352788161006,0.227058013563342,0.388624972910815,3.03233169207603,2.1394766812642
30,38,459,0.332316026693228,1.62410390346074,1.2686856751759,0.364764128568307,2.19089435812144,1.65671298142671
7,40,130,0.482152014652015,1.44320036921736,0.661256055646745,0.431270560493834,2.87128108343325,2.43943916787095
21,56,201,0.15717116638594,0.622176486562753,0.0526561790937506,0.354544507536805,4.06408845821715,1.92745000905234
43,84,512,0.0628628170272358,0.253664093303212,-0.235174091451932,0.256242094119185,3.50535918654864,1.25289077099223
6,78,250,0.517604617604618,0.668014688493915,0.753625118593191,0.277307271201738,-0.873916842828488,0.905152910198021
26,49,117,0.158837495759765,0.839734027444019,0.0145676474912819,0.124561383262288,0.867391088548316,0.095888071828162
23,69,385,0.143780283698868,0.334850663840377,-0.0139372253092717,0.298721285719381,2.95595104594501,1.39404323995277
22,18,106,0.156627572751685,0.461635218218783,0.121721764060784,0.340519497337679,1.59792181581919,0.742484113362826
8,6,19,0.330634920634921,0.427838508196009,0.344290557099685,0.253571428571429,-0.081635296491178,-0.214068016609093
8,15,32,0.226371882086168,0.400313340741756,-0.167182656664968,0.198012007833436,0.495028504002099,-0.0293301938426813
6,6,25,0.605555555555556,0.876840763529111,1.12849237534655,0.562222222222222,0.902951319857521,0.960462793922704
6,11,38,0.490909090909091,0.982763093377538,0.650781970540246,0.552323232323232,1.3972833263962,1.44901256960365
26,37,303,0.256784006977225,1.41302391415672,0.614873957057411,0.361090579434405,2.84292894258608,1.43396794407209
9,37,150,0.360169097669098,0.864768774114774,0.313913278134023,0.559398811111383,3.84782104175539,2.60342760888671
11,32,118,0.420785912116557,1.58359142856588,0.654261753298628,0.325571759211789,2.24293823891577,1.35995850993547
13,28,141,0.294223259104211,0.884390184241468,0.368986585277372,0.365413676262144,1.99552123832638,1.30791033210254
15,25,185,0.395460391460391,1.25597368800325,0.958662293853629,0.453653234352617,2.1261239171775,1.72708918519789
48,84,312,0.0795766072646035,0.578529266482778,-0.155483618149843,0.120377822548343,1.6017436812314,0.352861107420592
8,52,138,0.237630180277239,0.141617063660589,-0.143609839413257,0.365050572507407,2.59736146643842,1.61526642480481
23,22,51,0.0679777971794779,0.0389783399412236,-0.360074559371956,0.184199134199134,0.925397396528614,0.0870067710231315
17,56,123,0.119622505921207,0.286337866221411,-0.256919145717446,0.120230428453959,0.835796343510987,0.272843351691545
34,27,98,0.125603094867382,0.732420526945889,0.0122429172486437,0.182690468778034,1.05952758358375,0.126018013819462
20,25,76,0.160622287842876,0.631739042033728,-0.0278371947411324,0.217114935378745,1.15471253587748,0.301465316164661
14,9,22,0.0694444444444444,-0.179801135411769,-0.490833747193522,0.217032967032967,0.389341872806213,-0.141257208737405
20,597,2286,0.14932124237665,0.494896385517186,-0.0562603663022106,0.232275029122262,7.37081860266039,3.14382827514536
9,479,1241,0.261547760819256,0.464721105303925,-0.031590834526562,0.286291775303421,6.5441771738151,3.74947985976777
12,412,1129,0.192463035039748,0.409832570200397,-0.0429007781407043,0.16203431048206,2.41808814867755,1.28417173110381
3,11,22,0.527272727272727,0.205372823853465,0.146523659580004,0.462626262626263,-0.0320680217151046,0.802436068347419
3,10,22,0.614814814814815,0.463746048522912,0.411422544230797,0.566666666666667,0.304510524275741,1.21956590249778
18,10,52,0.360631030189854,1.91051377571483,0.882915379994528,0.36624649859944,1.32911306959689,0.355406177664656
19,10,59,0.34355703120409,1.77627599130848,0.849857761837693,0.364731272626009,1.33644398139713,0.39839527671768
10,10,32,0.418148148148148,1.43619233860435,0.618217783781182,0.332804232804233,1.23641910970014,0.289177359373091
9,15,50,0.350030234315949,0.879746413120087,0.29781696786037,0.311809795143128,1.05073520555309,0.608116561322798
19,10,59,0.34355703120409,1.77114084847568,0.821509812079668,0.364731272626009,1.32635252685676,0.39317846649879
4,25,50,0.505,0.632390902320896,0.248358920002578,0.342423952858735,0.630234901777711,0.998938545861706
10,17,59,0.357119514472456,1.07493467066122,0.448480593515382,0.274238909238909,0.946549437421616,0.626675083224935
15,81,679,0.429778767186175,0.997076152493053,1.14295298469648,0.548927441749662,4.64118498683902,3.86147314618369
7,19,55,0.373113338902813,0.793324833994696,0.180726300959449,0.404949116398696,1.78602213775055,1.2369136631083
3,216,439,0.607479184610968,0.727731511775271,0.337561923145049,0.548406797695705,2.83826600082044,6.39654052079844
3,188,374,0.614025107141503,0.792316839162641,0.347835809268451,0.529372802275406,2.22420119610415,5.75109582369264
29,71,435,0.0997317117012585,0.112433898037246,-0.137673720573996,0.230372351227565,2.00910702892472,0.82190172388521
30,71,558,0.135993287106705,0.400129360146064,0.0945264182449993,0.342934928982678,3.57227315047219,1.73942018308641
25,8,96,0.282642246292456,0.689644396110084,0.892090186289728,0.580134920634921,1.59910152290323,1.09955097735473
5,9,15,0.573611111111111,0.8866941308581,0.450298819562625,0.279166666666667,0.377116981135701,0.134251972399273
5,9,19,0.348611111111111,0.371520388037089,-0.0453837164256191,0.314404761904762,0.318209152706443,0.319858041520553
43,23,193,0.199651722980161,1.91252109843271,0.868655328467303,0.442055013519456,3.15438441054812,1.29086352435732
